"","Site","Time","Season","success","failure"
"872","13D",3,"S",0,163
"873","13D",4,"F",0,92
"874","13D",4,"S",1,162
"875","13D",5,"F",0,92
"876","13D",5,"S",0,163
"877","13D",6,"F",0,92
"878","13D",6,"S",0,163
"879","13D",7,"F",0,92
"880","13D",7,"S",0,163
"881","13D",8,"F",0,92
"882","13D",8,"S",0,163
"883","13D",9,"F",0,92
"884","13D",9,"S",0,163
"885","13D",10,"F",0,92
"886","13D",10,"S",0,163
"887","13D",11,"F",0,92
"888","13D",11,"S",0,163
"889","13D",12,"F",0,92
"890","13D",12,"S",0,163
"891","13D",13,"F",0,92
"892","13D",13,"S",0,163
"893","13D",14,"F",0,92
"894","13D",14,"S",0,163
"895","13D",15,"F",0,92
"896","13D",15,"S",0,163
"897","13D",16,"F",0,92
"898","13D",16,"S",1,162
"899","13D",17,"F",0,92
"900","13D",17,"S",0,163
"901","13D",18,"F",0,92
"902","13D",18,"S",0,163
"903","13D",19,"F",0,92
"904","13D",19,"S",0,163
"905","13D",20,"F",0,92
"906","13D",20,"S",0,163
"907","13D",21,"F",0,92
"908","13D",21,"S",0,163
"909","13D",22,"F",0,92
"910","13D",22,"S",0,163
"911","13D",23,"F",0,92
"912","13D",23,"S",0,163
"913","13E",0,"F",0,96
"914","13E",0,"S",0,158
"915","13E",1,"F",0,96
"916","13E",1,"S",1,157
"917","13E",2,"F",0,96
"918","13E",2,"S",0,158
"919","13E",3,"F",0,96
"920","13E",3,"S",0,158
"921","13E",4,"F",0,96
"922","13E",4,"S",0,158
"923","13E",5,"F",0,96
"924","13E",5,"S",0,158
"925","13E",6,"F",0,96
"926","13E",6,"S",0,158
"927","13E",7,"F",0,96
"928","13E",7,"S",1,157
